Argus;Affilié;Argus création;Produit;Marque;Modèle;Type;Prix partenaire grade A;Partenaire grade A;Prix client grade A;Prix partenaire grade A-;Partenaire grade A-;Prix client grade A-;Prix partenaire grade B;Partenaire grade B;Prix client grade B;Prix partenaire grade C;Partenaire grade C;Prix client grade C;Prix partenaire grade C-;Partenaire grade C-;Prix client grade C-;Prix partenaire grade D;Partenaire grade D;Prix client grade D;Prix partenaire grade D-;Partenaire grade D-;Prix client grade D-
85-116;CompaRecycle;01/06/2026;43869;Apple;iPhone 15 Plus e-Sim 512Go;Mobile;292€;Grading-Ecofone;292€;292€;Grading-Ecofone;292€;255€;Grading-Ecofone;255€;252€;Grading-Ecofone;252€;180€;Grading-Ecofone;180€;132€;Grading-Ecofone;132€;127€;Grading-ITP TECHNOLOGIE;127€
85-116;CompaRecycle;01/06/2026;39565;Apple;iPhone 14 256Go;Mobile;286€;Grading-bloo;286€;271€;Grading-MobileRecycle;271€;255€;Grading-MobileRecycle;255€;245€;Grading-MobileRecycle;245€;215€;Grading-AMC;215€;181€;Grading-ISR;181€;163€;Grading-MILERS;163€
85-116;CompaRecycle;01/06/2026;39654;Apple;iPhone 14 Pro Max e-SIM 512Go;Mobile;284€;Grading-Ecofone;284€;284€;Grading-Ecofone;284€;258€;Grading-Ecofone;258€;253€;Grading-Ecofone;253€;229€;Grading-ITP TECHNOLOGIE;229€;188€;Grading-ITP TECHNOLOGIE;188€;136€;Grading-ITP TECHNOLOGIE;136€
85-116;CompaRecycle;01/06/2026;39658;Apple;iPhone 14 e-SIM 512Go;Mobile;271€;Grading-Ecofone;271€;241€;Grading-Ecofone;241€;241€;Grading-Ecofone;241€;236€;Grading-Ecofone;236€;181€;Grading-Ecofone;181€;131€;Grading-Ecofone;131€;113€;Grading-ITP TECHNOLOGIE;113€
85-116;CompaRecycle;01/06/2026;43870;Apple;iPhone 15 Pro e-Sim 128Go;Mobile;270€;Grading-SimplyUsed;270€;264€;Grading-IMUDA;264€;258€;Grading-IMUDA;258€;216€;Grading-SimplyUsed;216€;209€;Grading-IMUDA;209€;126€;Grading-ITP TECHNOLOGIE;126€;73€;Grading-ISR;73€
85-116;CompaRecycle;01/06/2026;36555;Apple;iPhone 12 Pro Max 512Go;Mobile;265€;Grading-VALYUU;265€;265€;Grading-VALYUU;265€;246€;Grading-VALYUU;246€;232€;Grading-VALYUU;232€;199€;Grading-ISR;199€;163€;Grading-ISR;163€;121€;Grading-ITP TECHNOLOGIE;121€
85-116;CompaRecycle;01/06/2026;38537;Apple;iPhone 13 512Go;Mobile;265€;Grading-FLIP;265€;265€;Grading-FLIP;265€;246€;Grading-FLIP;246€;244€;Grading-FLIP;244€;184€;Grading-Phonestock;184€;145€;Grading-ISR;145€;118€;Grading-MILERS;118€
85-116;CompaRecycle;01/06/2026;39564;Apple;iPhone 14 128Go;Mobile;258€;Grading-NQ SOLUTIONS;258€;249€;Grading-NQ SOLUTIONS;249€;247€;Grading-NQ SOLUTIONS;247€;215€;Grading-AMC;215€;215€;Grading-AMC;215€;163€;Grading-ISR;163€;144€;Grading-MILERS;144€
85-116;CompaRecycle;01/06/2026;43866;Apple;iPhone 15 e-Sim 512Go;Mobile;258€;Grading-SimplyUsed;258€;256€;Grading-SimplyUsed;256€;256€;Grading-SimplyUsed;256€;255€;Grading-SimplyUsed;255€;201€;Grading-ITP TECHNOLOGIE;201€;91€;Grading-ISR;91€;80€;Grading-ITP TECHNOLOGIE;80€
85-116;CompaRecycle;01/06/2026;38542;Apple;iPhone 13 Pro 128Go;Mobile;254€;Grading-MILERS;254€;252€;Grading-MILERS;252€;252€;Grading-MILERS;252€;201€;Grading-Ecofone;201€;182€;Grading-Phonestock;182€;154€;Grading-ISR;154€;103€;Grading-ITP TECHNOLOGIE;103€
85-116;CompaRecycle;01/06/2026;43868;Apple;iPhone 15 Plus e-Sim 256Go;Mobile;254€;Grading-SimplyUsed;254€;252€;Grading-Ecofone;252€;251€;Grading-Ecofone;251€;248€;Grading-SimplyUsed;248€;176€;Grading-Phonestock;176€;82€;Grading-Ecofone;82€;67€;Grading-ITP TECHNOLOGIE;67€
85-116;CompaRecycle;01/06/2026;39653;Apple;iPhone 14 Pro Max e-SIM 256Go;Mobile;253€;Grading-Ecofone;253€;252€;Grading-SimplyUsed;252€;251€;Grading-Ecofone;251€;249€;Grading-Ecofone;249€;229€;Grading-ITP TECHNOLOGIE;229€;169€;Grading-ITP TECHNOLOGIE;169€;136€;Grading-ITP TECHNOLOGIE;136€
85-116;CompaRecycle;01/06/2026;39652;Apple;iPhone 14 Pro Max e-SIM 128Go;Mobile;252€;Grading-SimplyUsed;252€;250€;Grading-SimplyUsed;250€;248€;Grading-SimplyUsed;248€;218€;Grading-SimplyUsed;218€;172€;Grading-Phonestock;172€;151€;Grading-ISR;151€;135€;Grading-ITP TECHNOLOGIE;135€
85-116;CompaRecycle;01/06/2026;43867;Apple;iPhone 15 Plus e-Sim 128Go;Mobile;252€;Grading-Ecofone;252€;251€;Grading-Ecofone;251€;249€;Grading-Ecofone;249€;247€;Grading-Ecofone;247€;176€;Grading-Ecofone;176€;78€;Grading-Ecofone;78€;32€;Grading-ISR;32€
85-116;CompaRecycle;01/06/2026;39567;Apple;iPhone 14 Plus 128Go;Mobile;251€;Grading-ADB;251€;249€;Grading-ADB;249€;234€;Grading-IMUDA;234€;220€;Grading-VALYUU;220€;212€;Grading-Coqwel;212€;152€;Grading-ISR;152€;127€;Grading-Coqwel;127€
85-116;CompaRecycle;01/06/2026;39648;Apple;iPhone 14 Pro e-SIM 128Go;Mobile;243€;Grading-Ecofone;243€;234€;Grading-Ecofone;234€;214€;Grading-Ecofone;214€;200€;Grading-Ecofone;200€;174€;Grading-Phonestock;174€;82€;Grading-ISR;82€;65€;Grading-ITP TECHNOLOGIE;65€
85-116;CompaRecycle;01/06/2026;43865;Apple;iPhone 15 e-Sim 256Go;Mobile;240€;Grading-SimplyUsed;240€;238€;Grading-SimplyUsed;238€;211€;Grading-SimplyUsed;211€;206€;Grading-SimplyUsed;206€;158€;Grading-Ecofone;158€;77€;Grading-Ecofone;77€;52€;Grading-ITP TECHNOLOGIE;52€
85-116;CompaRecycle;01/06/2026;39661;Apple;iPhone 14 Plus e-SIM 512Go;Mobile;230€;Grading-SimplyUsed;230€;221€;Grading-SimplyUsed;221€;209€;Grading-SimplyUsed;209€;190€;Grading-SimplyUsed;190€;173€;Grading-Ecofone;173€;109€;Grading-ITP TECHNOLOGIE;109€;62€;Grading-ITP TECHNOLOGIE;62€
85-116;CompaRecycle;01/06/2026;36554;Apple;iPhone 12 Pro Max 256Go;Mobile;225€;Grading-ADB;225€;224€;Grading-ADB;224€;203€;Grading-ADB;203€;184€;Grading-ISR;184€;184€;Grading-ISR;184€;154€;Grading-ISR;154€;114€;Grading-ISR;114€
85-116;CompaRecycle;01/06/2026;45201;Apple;iPhone 16e e-Sim 512Go;Mobile;223€;Grading-Ecofone;223€;223€;Grading-Ecofone;223€;187€;Grading-Ecofone;187€;167€;Grading-Ecofone;167€;137€;Grading-Phonestock;137€;19€;Grading-Phonestock;19€;10€;Grading-SimplyUsed;10€
85-116;CompaRecycle;01/06/2026;36552;Apple;iPhone 12 Pro 512Go;Mobile;213€;Grading-Ecofone;213€;209€;Grading-ADB;209€;203€;Grading-Ecofone;203€;202€;Grading-Phonestock;202€;196€;Grading-Phonestock;196€;127€;Grading-ITP TECHNOLOGIE;127€;90€;Grading-ITP TECHNOLOGIE;90€
85-116;CompaRecycle;01/06/2026;36553;Apple;iPhone 12 Pro Max 128Go;Mobile;212€;Grading-bloo;212€;199€;Grading-bloo;199€;179€;Grading-bloo;179€;164€;Grading-ITP TECHNOLOGIE;164€;155€;Grading-ITP TECHNOLOGIE;155€;118€;Grading-ISR;118€;62€;Grading-ITP TECHNOLOGIE;62€
85-116;CompaRecycle;01/06/2026;39660;Apple;iPhone 14 Plus e-SIM 256Go;Mobile;210€;Grading-SimplyUsed;210€;210€;Grading-SimplyUsed;210€;177€;Grading-SimplyUsed;177€;166€;Grading-SimplyUsed;166€;160€;Grading-Phonestock;160€;68€;Grading-Ecofone;68€;60€;Grading-ITP TECHNOLOGIE;60€
85-116;CompaRecycle;01/06/2026;38538;Apple;iPhone 13 256Go;Mobile;209€;Grading-bloo;209€;204€;Grading-ADB;204€;200€;Grading-MILERS;200€;191€;Grading-MILERS;191€;166€;Grading-Phonestock;166€;145€;Grading-ISR;145€;118€;Grading-ISR;118€
85-116;CompaRecycle;01/06/2026;43864;Apple;iPhone 15 e-Sim 128Go;Mobile;209€;Grading-ISR;209€;209€;Grading-ISR;209€;209€;Grading-ISR;209€;168€;Grading-SimplyUsed;168€;150€;Grading-ITP TECHNOLOGIE;150€;73€;Grading-ISR;73€;28€;Grading-ITP TECHNOLOGIE;28€
85-116;CompaRecycle;01/06/2026;38541;Apple;iPhone 13 Mini 256Go;Mobile;208€;Grading-FLIP;208€;204€;Grading-FLIP;204€;192€;Grading-FLIP;192€;186€;Grading-FLIP;186€;141€;Grading-FLIP;141€;117€;Grading-ISR;117€;74€;Grading-ITP TECHNOLOGIE;74€
85-116;CompaRecycle;01/06/2026;45200;Apple;iPhone 16e e-Sim 256Go;Mobile;206€;Grading-SimplyUsed;206€;193€;Grading-SimplyUsed;193€;177€;Grading-SimplyUsed;177€;162€;Grading-SimplyUsed;162€;131€;Grading-ITP TECHNOLOGIE;131€;19€;Grading-SimplyUsed;19€;10€;Grading-SimplyUsed;10€
85-116;CompaRecycle;01/06/2026;39657;Apple;iPhone 14 e-SIM 256Go;Mobile;205€;Grading-Ecofone;205€;204€;Grading-Ecofone;204€;209€;Grading-Ecofone;209€;203€;Grading-Ecofone;203€;178€;Grading-ITP TECHNOLOGIE;178€;106€;Grading-ITP TECHNOLOGIE;106€;85€;Grading-ITP TECHNOLOGIE;85€
85-116;CompaRecycle;01/06/2026;39656;Apple;iPhone 14 e-SIM 128Go;Mobile;203€;Grading-IMUDA;203€;209€;Grading-IMUDA;209€;207€;Grading-IMUDA;207€;201€;Grading-ITP TECHNOLOGIE;201€;178€;Grading-ITP TECHNOLOGIE;178€;102€;Grading-ITP TECHNOLOGIE;102€;71€;Grading-ITP TECHNOLOGIE;71€
85-116;CompaRecycle;01/06/2026;38536;Apple;iPhone 13 128Go;Mobile;200€;Grading-MILERS;200€;199€;Grading-MILERS;199€;197€;Grading-MILERS;197€;181€;Grading-MILERS;181€;164€;Grading-MILERS;164€;117€;Grading-ISR;117€;102€;Grading-MILERS;102€
85-116;CompaRecycle;01/06/2026;34358;Apple;iPhone 11 Pro Max 512Go;Mobile;195€;Grading-FLIP;195€;195€;Grading-FLIP;195€;167€;Grading-Ecofone;167€;157€;Grading-FLIP;157€;116€;Grading-FLIP;116€;97€;Grading-ISR;97€;49€;Grading-QUOTIDIAN;49€
85-116;CompaRecycle;01/06/2026;36551;Apple;iPhone 12 Pro 256Go;Mobile;193€;Grading-ADB;193€;189€;Grading-ADB;189€;164€;Grading-IMUDA;164€;162€;Grading-MobileRecycle;162€;143€;Grading-Phonestock;143€;127€;Grading-ISR;127€;63€;Grading-ITP TECHNOLOGIE;63€
85-116;CompaRecycle;01/06/2026;38539;Apple;iPhone 13 Mini 128Go;Mobile;179€;Grading-bloo;179€;174€;Grading-RINGY;174€;160€;Grading-RINGY;160€;148€;Grading-FLIP;148€;117€;Grading-ITP TECHNOLOGIE;117€;104€;Grading-ISR;104€;59€;Grading-Coqwel;59€
85-116;CompaRecycle;01/06/2026;36550;Apple;iPhone 12 Pro 128Go;Mobile;175€;Grading-MILERS;175€;170€;Grading-MILERS;170€;156€;Grading-MILERS;156€;140€;Grading-ITP TECHNOLOGIE;140€;140€;Grading-ITP TECHNOLOGIE;140€;110€;Grading-ISR;110€;54€;Grading-ITP TECHNOLOGIE;54€
85-116;CompaRecycle;01/06/2026;39659;Apple;iPhone 14 Plus e-SIM 128Go;Mobile;168€;Grading-IMUDA;168€;168€;Grading-IMUDA;168€;163€;Grading-IMUDA;163€;162€;Grading-Ecofone;162€;147€;Grading-IMUDA;147€;60€;Grading-Phonestock;60€;39€;Grading-ITP TECHNOLOGIE;39€
85-116;CompaRecycle;01/06/2026;36549;Apple;iPhone 12 256Go;Mobile;160€;Grading-FLIP;160€;151€;Grading-FLIP;151€;131€;Grading-FLIP;131€;126€;Grading-FLIP;126€;121€;Grading-FLIP;121€;68€;Grading-Phonestock;68€;46€;Grading-MILERS;46€
85-116;CompaRecycle;01/06/2026;34349;Apple;iPhone 11 Pro 512Go;Mobile;157€;Grading-ADB;157€;157€;Grading-ADB;157€;130€;Grading-ADB;130€;127€;Grading-VALYUU;127€;116€;Grading-Phonestock;116€;73€;Grading-ISR;73€;49€;Grading-ITP TECHNOLOGIE;49€
85-116;CompaRecycle;01/06/2026;34357;Apple;iPhone 11 Pro Max 256Go;Mobile;151€;Grading-MILERS;151€;146€;Grading-MILERS;146€;131€;Grading-MILERS;131€;112€;Grading-MILERS;112€;91€;Grading-Phonestock;91€;79€;Grading-ISR;79€;49€;Grading-QUOTIDIAN;49€
85-116;CompaRecycle;01/06/2026;45199;Apple;iPhone 16e e-Sim 128Go;Mobile;151€;Grading-SimplyUsed;151€;144€;Grading-SimplyUsed;144€;96€;Grading-SimplyUsed;96€;84€;Grading-SimplyUsed;84€;45€;Grading-SimplyUsed;45€;15€;Grading-ITP TECHNOLOGIE;15€;6€;Grading-ITP TECHNOLOGIE;6€
85-116;CompaRecycle;01/06/2026;34348;Apple;iPhone 11 Pro 256Go;Mobile;136€;Grading-ADB;136€;130€;Grading-FLIP;130€;123€;Grading-FLIP;123€;112€;Grading-FLIP;112€;102€;Grading-FLIP;102€;70€;Grading-ISR;70€;23€;Grading-QUOTIDIAN;23€
85-116;CompaRecycle;01/06/2026;34356;Apple;iPhone 11 Pro Max 64Go;Mobile;133€;Grading-MILERS;133€;132€;Grading-MILERS;132€;119€;Grading-MILERS;119€;105€;Grading-MILERS;105€;84€;Grading-FLIP;84€;65€;Grading-ISR;65€;31€;Grading-QUOTIDIAN;31€
85-116;CompaRecycle;01/06/2026;36546;Apple;iPhone 12 Mini 256Go;Mobile;130€;Grading-bloo;130€;125€;Grading-FLIP;125€;111€;Grading-FLIP;111€;108€;Grading-MobileRecycle;108€;90€;Grading-FLIP;90€;55€;Grading-ISR;55€;20€;Grading-ITP TECHNOLOGIE;20€
85-116;CompaRecycle;01/06/2026;36545;Apple;iPhone 12 Mini 128Go;Mobile;120€;Grading-bloo;120€;114€;Grading-FLIP;114€;90€;Grading-IMUDA;90€;73€;Grading-FLIP;73€;56€;Grading-FLIP;56€;38€;Grading-ISR;38€;20€;Grading-ITP TECHNOLOGIE;20€
85-116;CompaRecycle;01/06/2026;36548;Apple;iPhone 12 128Go;Mobile;120€;Grading-GradeMobile;120€;116€;Grading-MILERS;116€;111€;Grading-MILERS;111€;96€;Grading-MILERS;96€;78€;Grading-MILERS;78€;54€;Grading-QUOTIDIAN;54€;46€;Grading-QUOTIDIAN;46€
85-116;CompaRecycle;01/06/2026;39230;Apple;iPhone SE 5G 2022 256Go;Mobile;120€;Grading-ADB;120€;104€;Grading-ADB;104€;94€;Grading-ADB;94€;87€;Grading-VALYUU;87€;68€;Grading-Phonestock;68€;45€;Grading-ISR;45€;27€;Grading-ITP TECHNOLOGIE;27€
85-116;CompaRecycle;01/06/2026;34340;Apple;iPhone 11 256Go;Mobile;110€;Grading-Ecofone;110€;106€;Grading-Ecofone;106€;101€;Grading-Ecofone;101€;82€;Grading-Ecofone;82€;71€;Grading-Phonestock;71€;55€;Grading-ISR;55€;18€;Grading-ITP TECHNOLOGIE;18€
85-116;CompaRecycle;01/06/2026;36547;Apple;iPhone 12 64Go;Mobile;109€;Grading-ADB;109€;106€;Grading-MILERS;106€;86€;Grading-IMUDA;86€;78€;Grading-MILERS;78€;78€;Grading-MILERS;78€;46€;Grading-ISR;46€;33€;Grading-QUOTIDIAN;33€
85-116;CompaRecycle;01/06/2026;39229;Apple;iPhone SE 5G 2022 128Go;Mobile;102€;Grading-VALYUU;102€;102€;Grading-VALYUU;102€;92€;Grading-VALYUU;92€;87€;Grading-VALYUU;87€;65€;Grading-Phonestock;65€;42€;Grading-ISR;42€;27€;Grading-ITP TECHNOLOGIE;27€
85-116;CompaRecycle;01/06/2026;34339;Apple;iPhone 11 128Go;Mobile;97€;Grading-KYKLOS;97€;97€;Grading-KYKLOS;97€;90€;Grading-FLIP;90€;65€;Grading-ISR;65€;59€;Grading-FLIP;59€;48€;Grading-ISR;48€;12€;Grading-QUOTIDIAN;12€
85-116;CompaRecycle;01/06/2026;34347;Apple;iPhone 11 Pro 64Go;Mobile;96€;Grading-Ecofone;96€;94€;Grading-MILERS;94€;92€;Grading-MILERS;92€;81€;Grading-MILERS;81€;62€;Grading-ISR;62€;46€;Grading-ISR;46€;23€;Grading-QUOTIDIAN;23€
85-116;CompaRecycle;01/06/2026;31867;Apple;iPhone XS Max 512Go;Mobile;85€;Grading-VALYUU;85€;85€;Grading-VALYUU;85€;73€;Grading-VALYUU;73€;73€;Grading-VALYUU;73€;36€;Grading-Phonestock;36€;23€;Grading-ISR;23€;14€;Grading-QUOTIDIAN;14€
85-116;CompaRecycle;01/06/2026;36544;Apple;iPhone 12 Mini 64Go;Mobile;85€;Grading-bloo;85€;79€;Grading-FLIP;79€;72€;Grading-IMUDA;72€;58€;Grading-ISR;58€;50€;Grading-ISR;50€;32€;Grading-ISR;32€;10€;Grading-ISR;10€
85-116;CompaRecycle;01/06/2026;31866;Apple;iPhone XS Max 256Go;Mobile;70€;Grading-KYKLOS;70€;65€;Grading-ISR;65€;65€;Grading-ISR;65€;65€;Grading-ISR;65€;31€;Grading-QUOTIDIAN;31€;21€;Grading-QUOTIDIAN;21€;14€;Grading-QUOTIDIAN;14€
85-116;CompaRecycle;01/06/2026;34338;Apple;iPhone 11 64Go;Mobile;65€;Grading-ADB;65€;65€;Grading-LANDIPHONE;65€;65€;Grading-LANDIPHONE;65€;55€;Grading-FLIP;55€;48€;Grading-QUOTIDIAN;48€;28€;Grading-QUOTIDIAN;28€;12€;Grading-QUOTIDIAN;12€
85-116;CompaRecycle;01/06/2026;39228;Apple;iPhone SE 5G 2022 64Go;Mobile;65€;Grading-ISR;65€;65€;Grading-ISR;65€;65€;Grading-ISR;65€;62€;Grading-ISR;62€;48€;Grading-ISR;48€;28€;Grading-ISR;28€;10€;Grading-SimplyUsed;10€
85-116;CompaRecycle;01/06/2026;31879;Apple;iPhone XR 256Go;Mobile;57€;Grading-Phonestock;57€;53€;Grading-Phonestock;53€;45€;Grading-ISR;45€;40€;Grading-ISR;40€;37€;Grading-QUOTIDIAN;37€;27€;Grading-QUOTIDIAN;27€;20€;Grading-ITP TECHNOLOGIE;20€
85-116;CompaRecycle;01/06/2026;31855;Apple;iPhone XS 512Go;Mobile;55€;Grading-KYKLOS;55€;55€;Grading-KYKLOS;55€;47€;Grading-KYKLOS;47€;40€;Grading-ISR;40€;37€;Grading-ISR;37€;29€;Grading-ISR;29€;8€;Grading-ITP TECHNOLOGIE;8€
85-116;CompaRecycle;01/06/2026;35619;Apple;iPhone SE 2020 256Go;Mobile;53€;Grading-Ecofone;53€;43€;Grading-Ecofone;43€;35€;Grading-Ecofone;35€;30€;Grading-Ecofone;30€;28€;Grading-ISR;28€;9€;Grading-ISR;9€;6€;Grading-ITP TECHNOLOGIE;6€
85-116;CompaRecycle;01/06/2026;31854;Apple;iPhone XS 256Go;Mobile;50€;Grading-KYKLOS;50€;50€;Grading-KYKLOS;50€;43€;Grading-ISR;43€;40€;Grading-ISR;40€;37€;Grading-ISR;37€;29€;Grading-ISR;29€;8€;Grading-ITP TECHNOLOGIE;8€
85-116;CompaRecycle;01/06/2026;31865;Apple;iPhone XS Max 64Go;Mobile;45€;Grading-ISR;45€;45€;Grading-ISR;45€;45€;Grading-ISR;45€;35€;Grading-ISR;35€;26€;Grading-QUOTIDIAN;26€;8€;Grading-QUOTIDIAN;8€;0€;;0€
85-116;CompaRecycle;01/06/2026;31878;Apple;iPhone XR 128Go;Mobile;45€;Grading-ISR;45€;45€;Grading-ISR;45€;40€;Grading-ISR;40€;37€;Grading-QUOTIDIAN;37€;37€;Grading-QUOTIDIAN;37€;27€;Grading-QUOTIDIAN;27€;3€;Grading-QUOTIDIAN;3€
85-116;CompaRecycle;01/06/2026;29325;Apple;iPhone X 256Go;Mobile;40€;Grading-ISR;40€;40€;Grading-ISR;40€;40€;Grading-ISR;40€;32€;Grading-ISR;32€;30€;Grading-ISR;30€;19€;Grading-ISR;19€;6€;Grading-ITP TECHNOLOGIE;6€
85-116;CompaRecycle;01/06/2026;31853;Apple;iPhone XS 64Go;Mobile;40€;Grading-ISR;40€;40€;Grading-ISR;40€;40€;Grading-ISR;40€;25€;Grading-ISR;25€;20€;Grading-ISR;20€;14€;Grading-ISR;14€;0€;;0€
85-116;CompaRecycle;01/06/2026;31877;Apple;iPhone XR 64Go;Mobile;36€;Grading-QUOTIDIAN;36€;36€;Grading-QUOTIDIAN;36€;36€;Grading-QUOTIDIAN;36€;28€;Grading-QUOTIDIAN;28€;28€;Grading-QUOTIDIAN;28€;21€;Grading-QUOTIDIAN;21€;0€;;0€
85-116;CompaRecycle;01/06/2026;35618;Apple;iPhone SE 2020 128Go;Mobile;35€;Grading-FLIP;35€;31€;Grading-FLIP;31€;27€;Grading-FLIP;27€;21€;Grading-FLIP;21€;18€;Grading-ISR;18€;9€;Grading-ISR;9€;6€;Grading-ITP TECHNOLOGIE;6€
85-116;CompaRecycle;01/06/2026;35617;Apple;iPhone SE 2020 64Go;Mobile;32€;Grading-ISR;32€;28€;Grading-ISR;28€;23€;Grading-ISR;23€;20€;Grading-ISR;20€;18€;Grading-ISR;18€;9€;Grading-ISR;9€;6€;Grading-ITP TECHNOLOGIE;6€
85-116;CompaRecycle;01/06/2026;29324;Apple;iPhone X 64Go;Mobile;30€;Grading-ISR;30€;30€;Grading-ISR;30€;30€;Grading-ISR;30€;30€;Grading-ISR;30€;17€;Grading-ISR;17€;11€;Grading-ISR;11€;0€;;0€
85-116;CompaRecycle;01/06/2026;29315;Apple;iPhone 8 Plus 256Go;Mobile;29€;Grading-ISR;29€;29€;Grading-ISR;29€;29€;Grading-ISR;29€;29€;Grading-ISR;29€;29€;Grading-ISR;29€;10€;Grading-ISR;10€;0€;;0€
85-116;CompaRecycle;01/06/2026;34436;Apple;iPhone 8 Plus 128Go;Mobile;23€;Grading-QUALIMOBILE;23€;22€;Grading-QUALIMOBILE;22€;21€;Grading-QUALIMOBILE;21€;17€;Grading-ISR;17€;10€;Grading-ISR;10€;1€;Grading-ISR;1€;0€;;0€
85-116;CompaRecycle;01/06/2026;29313;Apple;iPhone 8 256Go;Mobile;20€;Grading-KYKLOS;20€;20€;Grading-KYKLOS;20€;20€;Grading-ISR;20€;20€;Grading-ISR;20€;10€;Grading-ISR;10€;3€;Grading-ITP TECHNOLOGIE;3€;0€;;0€
85-116;CompaRecycle;01/06/2026;29314;Apple;iPhone 8 Plus 64Go;Mobile;20€;Grading-ISR;20€;20€;Grading-ISR;20€;20€;Grading-ISR;20€;15€;Grading-ISR;15€;10€;Grading-ISR;10€;1€;Grading-ISR;1€;0€;;0€
85-116;CompaRecycle;01/06/2026;34435;Apple;iPhone 8 128Go;Mobile;20€;Grading-KYKLOS;20€;20€;Grading-KYKLOS;20€;15€;Grading-ISR;15€;15€;Grading-ISR;15€;10€;Grading-ISR;10€;3€;Grading-ISR;3€;0€;;0€
85-116;CompaRecycle;01/06/2026;29312;Apple;iPhone 8 64Go;Mobile;13€;Grading-ISR;13€;13€;Grading-ISR;13€;13€;Grading-ISR;13€;12€;Grading-ISR;12€;10€;Grading-ISR;10€;3€;Grading-ISR;3€;0€;;0€
85-116;CompaRecycle;01/06/2026;15649;Apple;iPhone 7 Plus 256Go;Mobile;12€;Grading-ISR;12€;12€;Grading-ISR;12€;12€;Grading-ISR;12€;10€;Grading-ISR;10€;8€;Grading-ISR;8€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;260;Apple;iPhone 3G;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;3994;Apple;iPhone 4 8Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;10640;Apple;iPhone 4S 8Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;12282;Apple;iPhone 5 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13627;Apple;iPhone 5S 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13628;Apple;iPhone 5C 32Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13629;Apple;iPhone 5C 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13633;Apple;iPhone 5C 64Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13857;Apple;iPhone 5C 8Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13935;Apple;iPhone 6 Plus 128Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13936;Apple;iPhone 6 Plus 64Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13937;Apple;iPhone 6 128Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13938;Apple;iPhone 6 64Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13940;Apple;iPhone 6 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;13941;Apple;iPhone 6 Plus 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;14406;Apple;iPhone 6S 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;14407;Apple;iPhone 6S 64Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;14408;Apple;iPhone 6S 128Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;14409;Apple;iPhone 6S Plus 16Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
85-116;CompaRecycle;01/06/2026;14410;Apple;iPhone 6S Plus 64Go;Mobile;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€;0€;;0€
